"","actors_who_need_to_take_action","agents_of_change","call_to_action","cc_id","created_at","created_by","duration_of_problem","escalate_problem_to_govt_officials","flagged_issue","government_program_details","id","impact_achieved_description","impact_affected_community_member_support","impact_called_govt_official","impact_cc_verification_call","impact_community_meetings_attendance_number","impact_community_meetings_done","impact_community_meetings_number","impact_contact_lawyer","impact_contact_news_media","impact_contact_politician","impact_contact_vv_staff","impact_corroboration_call","impact_corroboration_details","impact_date","impact_govt_application_filing","impact_govt_official_no_of_calls","impact_govt_official_no_of_visits","impact_govt_official_support","impact_govt_official_support_details","impact_govt_official_visit","impact_in_process","impact_needs_office_intervention","impact_other_community_member_support","impact_other_community_member_support_details","impact_plan","impact_possible","impact_problem_reporting","impact_public_grievance_mechanism_use","impact_publicize_on_social_media","impact_raised_awareness","impact_rti_application_filing","impact_steps_followed_at_local_level","impact_uid","impact_youtube_publish_date","impact_youtube_url","is_impact","issue","issue_2","issue_footage_received_from_cc_date","level_of_spread","mentor","ngo_collaboration","no_of_individuals_affected","people_impacted","people_involved","primary_affected_groups","problem_identification_by_cc","screened_to","screened_to_total_number","screening_done","screening_shared_to","screening_shared_to_total_number","screening_shared_to_total_private_sharing","screening_sharing","social_movement_work","story_pitch_date","target_official","themes","topic_identification_reason","uid","underlying_reason_of_issue","updated_at","village_name","villages_impacted","youtube_publish_date","youtube_url"
"11",NA,NA,"no",86,2021-08-19 08:52:54,"shikha paharin","yrs or more","don't know yet","no",NA,2543,NA,"yes","no",NA,0,"no",0,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no",NA,NA,"no","others",NA,"no","yes","no","yes","don't know yet","no",NA,NA,NA,NA,FALSE,"anti poverty programs","health",2021-08-18,"block","shikha paharin","no",20000,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no",NA,NA,NA,NA,"no",2021-08-19,NA,"material problem (e.g. delivery of a service, repair of infrastructure), a governance & accountability problem, where the system is not working as it should","they toured the village to find out what's going on","jh_5263","low quality service delivery of entitlement provision",2022-06-01 09:53:40,"navdiha",NA,2021-08-19,"https://youtu.be/i0vlbmnjglq"
"12","department bureaucrat-district level","government official","no",407,2022-08-22 13:33:17,"saroj kumar rawani","last month or less","sign an application","yes","forest rights act",4345,NA,"yes","no",NA,35,"yes",1,"no","no","no","no",NA,NA,NA,"no",0,2,"yes","block development officer or other block officials","yes","yes","yes","no","others",NA,"yes","no","no","yes","told people about the problem (in person)","no","making a social media post, explaining the problem and showing some of the footage",NA,NA,NA,FALSE,"forced evictions","forced evictions",2022-08-23,"village","graduate cc","yes",250,NA,NA,"no particular groups is affected -- the problem is cross-cutting","no","community members",30,"yes","community members, bdo",4,5,"yes","yes",2022-08-22,NA,"a systemic problem (something related to governance)","they read about the issue in the newspaper","jh_5385","land seizure/forced eviction",2022-10-05 05:17:15,"jatrahi",NA,2022-08-25,"https://youtu.be/1qzdl70x268"
"13","department bureaucrat-district level","government official","no",407,2022-08-22 13:33:17,"saroj kumar rawani","last month or less","visit a government office","yes","forest rights act",4345,NA,"yes","no",NA,35,"yes",1,"no","no","no","no",NA,NA,NA,"no",0,2,"yes","block development officer or other block officials","yes","yes","yes","no","others",NA,"yes","no","no","yes","told people about the problem (in person)","no","making a social media post, explaining the problem and showing some of the footage",NA,NA,NA,FALSE,"forced evictions","forced evictions",2022-08-23,"village","graduate cc","yes",250,NA,NA,"no particular groups is affected -- the problem is cross-cutting","no","community members",30,"yes","community members, bdo",4,5,"yes","yes",2022-08-22,NA,"a systemic problem (something related to governance)","they read about the issue in the newspaper","jh_5385","land seizure/forced eviction",2022-10-05 05:17:15,"jatrahi",NA,2022-08-25,"https://youtu.be/1qzdl70x268"
"14","b.d.o.","government official","no",80,2022-11-13 09:01:50,"nabor kerketta goreti kujur (maria goerti)","2-4 yrs","sign an application","no","swachch bharat",4816,NA,"yes","yes",NA,30,"yes",4,"no","no","no","no",NA,NA,NA,"no",2,1,"yes","district collector or district officials, others officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","told people about the problem (in person)","no","making a social media post, explaining the problem and showing some of the footage, sharing the edited video on social media & encouraging the relevant people to do so, screening the video in the community on the device",NA,NA,NA,FALSE,"anti poverty programs","crumbling infrastructure",2022-11-16,"panchayat","graduate cc","no",3500,NA,NA,"tribals, adivasi, scheduled tribe","yes","community members",5,"yes","community members, panchayat official, bdo",3,15,"yes","no",2022-11-13,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5423","low quality service delivery of entitlement provision",2022-12-07 12:35:43,"कर्माटांड",NA,2022-11-16,"https://youtu.be/lr48ai5qdi4"
"15","bdo, department bureaucrat-block level","government official","yes",80,2021-02-15 07:08:32,"nabor kerketta goreti kujur (maria goerti)","yrs or more","sign an application","no",NA,1417,NA,"yes","no",NA,5,"yes",1,"no","no","no","no",NA,NA,NA,"no",0,1,"yes","panchayat officials","yes","yes","no","no","others",NA,"yes","yes","no","no","informed people about a government program or entitlement","no","visiting the relevant authorities",NA,NA,NA,FALSE,"sanitation","health",2021-02-20,"village","graduate cc","no",100,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no",NA,NA,NA,NA,"no",2021-02-15,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for","people came to him with their problems","jh_5137","low quality service delivery of entitlement provision",2022-03-30 13:01:53,"tetriya taand",NA,2021-03-07,"https://youtu.be/rujyrgo6v2m"
"16","department bureaucrat-district level","government official","yes",88,2021-03-22 12:34:18,"shanti kumari baraik","2-4 yrs","sign an application","no",NA,1634,"district gumla block kamdara panchayat latra village latra sub health center building is in dilapidated condition in which water and electricity facility is not available and 10 -15 patients come here every day.after making video to change this problem the community took a meeting, wrote an application in the meeting, later gave the application to the health officer and screened the video. recently, a new geyser has been installed in this hospital so that the patient and his companion can get hot water. got a new hand pump installed, which solved the water problem. installed new bed sheets and beds. there is still supply of medicine and cc is working. had a meeting with the healthy hospital member 3 times in an effort to bring about change. after the meeting, the health officer (cmo) met and applied and continued to follow up. the members who were members of the swasth hospital visited that sub-health center and then they saw changes in these three things. still trying to change.","yes","no","yes",10,"yes",3,"no","no","no","no","yes","no",2022-05-25,"no",0,1,"yes","block development officer or other block officials , district collector or district officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","sharing the edited video on social media & encouraging the relevant people to do so, visiting the relevant authorities","jh_5195_impact",NA,NA,TRUE,"health","anti poverty programs",2021-08-22,"block","guruprasad pednekar","no",50000,50000,2,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no",NA,NA,NA,"no","no",2021-03-22,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5195","denial of service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-06-15 05:24:23,"latra",1,2021-08-25,"https://youtu.be/t1093uspeoo"
"17","bdo, department bureaucrat-block level, department bureaucrat-district level","government official","yes",407,2021-08-12 12:35:44,"saroj kumar rawani","yrs or more","don't know yet","no",NA,2474,"district chatra block kanhachatti under the health hospital campaign in the primary health center by our community correspondent formed a 10-member campaign team and conducted a survey in the kanha chatti primary health center as per the government guidelines! the problem was the problem of ambulance due to non-availability of ambulance service, about 63 people of kanha chatti primary block were facing a lot of trouble in the sudden incident! regarding this problem, meeting with the team of swasthya hospital abhiyan 2, 3 times, gave an application to the dc of the district and one application to the civil surgeon of the district! a video was also made on the problem of hospital and ambulance vehicle, the video was posted several times on social media with the community and its selected team as well as sent to the mobile of the officer and public representative! the print media of the region also published this news as a result of which a new ambulance vehicle was given to kanhachatti primary health center in collaboration with ntpc chatra. about 63,000 people of this block have been benefited by getting an ambulance vehicle. now, in case of any accident or serious illness, you will be able to get an ambulance free of cost by calling 108!","yes","no","no",0,"no",0,"no","no","no","no","no",NA,2023-01-10,"no",0,2,"yes","district collector or district officials","yes","yes","yes","no","others","aapne chat group ki mad se age impact planning karenge","yes","yes","no","yes","don't know yet","no","making a social media post, explaining the problem and showing some of the footage, screening the video in the community on the device, speaking with the relevant authorities by phone","jh_5258_impact",2023-01-16,"https://youtu.be/x_eltsk9dmw",TRUE,"anti poverty programs","health",2021-08-18,"block","graduate cc","no",63000,63000,NA,"no particular groups is affected -- the problem is cross-cutting","yes","community members",15,"yes","community members",3,1,"yes","no",2021-08-10,"now","material problem (e.g. delivery of a service, repair of infrastructure), a governance & accountability problem, where the system is not working as it should","they toured the village to find out what's going on","jh_5258","low quality service delivery of entitlement provision",2023-01-16 07:09:54,"kanhachatti",NA,2021-08-18,"https://youtu.be/encjlqrixxi"
"18","panchayat official","government official","no",407,2022-10-09 12:30:40,"saroj kumar rawani","yrs or more","sign an application","yes","pradhan mantri awas yojana",4628,NA,"yes","yes",NA,15,"yes",2,"no","no","no","no",NA,NA,NA,"no",1,2,"yes","panchayat officials","yes","yes","yes","no","others",NA,"yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage",NA,NA,NA,FALSE,"anti poverty programs","anti poverty programs",2022-10-12,"tola/hamlet","graduate cc","no",130,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes","community members",25,"yes","community members, panchayat official, bdo",4,5,"yes","no",2022-10-09,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for","they toured the village to find out what's going on","jh_5409","violation of indigenous/tribal rights",2022-11-16 06:31:26,"bengokhurd",NA,2022-10-13,"https://youtu.be/itzkdes1ikc"
"19","department bureaucrat-district level","government official","no",407,2022-08-26 01:23:32,"saroj kumar rawani","last 6 months","sign an application","no","tap water scheme",4368,"district chatra block kanhachatti panchayat bengokala village manjholiya st tola in st tola, the water tower was lying damaged for the last 6 months due to which 150 people of 20 houses were worried for water. due to which the villagers used to drink dirty water from far away, about which i had made a problem video in september 2022. talked and gave applications and did video screening and also talked on phone, sent videos on mobile, posted this video a lot on social media, as a result of which after one month, with the help of phd department, arrangement of water was made in the village by repair of jalminar. due to which 150 people from 20 houses of manjholia village were benefited.","yes","yes","yes",40,"yes",1,"no","no","no","no","yes",NA,2022-11-02,"no",2,2,"yes","panchayat officials, block development officer or other block officials","yes","yes","yes","no","others",NA,"yes","yes","no","yes","screened/shared a video about the problem","no","sharing the edited video on social media & encouraging the relevant people to do so","jh_5389_impact",2022-11-09,"https://youtu.be/cnwhn3ajqjk",TRUE,"water","water",2022-08-29,"tola/hamlet","graduate cc","no",150,150,6,"tribals, adivasi, scheduled tribe","yes","community members, panchayat official",30,"yes","community members, panchayat official, bdo",5,10,"yes","no",2022-08-26,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for","people called them/messaged theme on the phone","jh_5389","the community is ignorant about this problem",2022-11-17 08:52:12,"manjolia",1,2022-08-29,"https://youtu.be/slrldw4fyzs"
"20","department bureaucrat-district level","government official","no",407,2022-09-25 12:53:31,"saroj kumar rawani","last 6 months","sign an application","yes","chief minister tap water scheme",4549,NA,"yes","yes",NA,25,"yes",1,"no","no","no","no",NA,NA,NA,"no",1,1,"yes","panchayat officials, district collector or district officials","yes","yes","yes","no","others",NA,"yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","sharing the edited video on social media & encouraging the relevant people to do so",NA,NA,NA,FALSE,"water","water",2022-09-26,"tola/hamlet","graduate cc","no",300,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes","community members",20,"yes","community members, panchayat official, bdo",4,5,"yes","yes",2022-09-24,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for","they toured the village to find out what's going on","jh_5405","denial of service delivery or entitlement provision",2022-11-16 06:32:28,"chow toad",NA,2022-09-28,"https://youtu.be/-ug-qf9wyfu"
"21","panchayat official, bdo","government official","yes",407,2021-01-08 08:25:08,"saroj kumar rawani","yrs or more","sign an application","no","swachh bharat abhiyan",1252,NA,"yes","no",NA,25,"yes",1,"no","no","no","no",NA,NA,NA,"yes",0,2,"yes","panchayat officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","informed people about a government program or entitlement","no","visiting the relevant authorities",NA,NA,NA,FALSE,"sanitation","health",2021-02-20,"tola/hamlet","graduate cc","no",100,NA,NA,"dalits, scheduled castes","yes","community members",25,"yes","community members",5,10,"yes","no",2021-01-06,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5117","low quality service delivery of entitlement provision, caste discrimination",2022-03-30 13:01:53,"pete's",NA,2021-03-01,"https://youtu.be/z1piebm1-hq"
"22","b.d.o.","government official","yes",407,2022-01-12 12:09:41,"saroj kumar rawani","yrs or more","sign an application","yes","swachh bharat mission",3233,NA,"yes","no",NA,15,"yes",1,"no","no","no","no",NA,NA,NA,"yes",0,2,"yes","block development officer or other block officials , district collector or district officials","yes","yes","yes","no","others","will share video and talk to block officer","yes","no","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage, screening the video in the community on the device",NA,NA,NA,FALSE,"anti poverty programs","livelihoods",2022-01-17,"block","graduate cc","no",40000,NA,NA,"other religious minorities, women, no particular groups is affected -- the problem is cross-cutting","no","community members, bdo",15,"yes","community members, bdo",6,3,"yes","no",2022-01-11,"b.d.o.","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they read about the issue in the newspaper","jh_5311","low quality service delivery of entitlement provision",2022-03-30 13:01:53,"snack food",NA,2022-01-18,"https://youtu.be/ymw5yfmhf4w"
"23","b.d.o.","government official","yes",407,2022-01-12 12:09:41,"saroj kumar rawani","yrs or more","visit a government office","yes","swachh bharat mission",3233,NA,"yes","no",NA,15,"yes",1,"no","no","no","no",NA,NA,NA,"yes",0,2,"yes","block development officer or other block officials , district collector or district officials","yes","yes","yes","no","others","will share video and talk to block officer","yes","no","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage, screening the video in the community on the device",NA,NA,NA,FALSE,"anti poverty programs","livelihoods",2022-01-17,"block","graduate cc","no",40000,NA,NA,"other religious minorities, women, no particular groups is affected -- the problem is cross-cutting","no","community members, bdo",15,"yes","community members, bdo",6,3,"yes","no",2022-01-11,"b.d.o.","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they read about the issue in the newspaper","jh_5311","low quality service delivery of entitlement provision",2022-03-30 13:01:53,"snack food",NA,2022-01-18,"https://youtu.be/ymw5yfmhf4w"
"24","panchayat official","government official","yes",407,2022-07-21 13:54:17,"saroj kumar rawani","yrs or more","sign an application","no","rural road scheme",4139,NA,"yes","yes",NA,25,"yes",1,"no","yes","no","no",NA,NA,NA,"no",1,2,"yes","panchayat officials, other village officials (non-panchayat), district collector or district officials","yes","yes","yes","no","others","along with the panchayat officer, the block officer has to be contacted as well.","yes","yes","no","yes","told people about the problem (in person)","no","sharing the edited video on social media & encouraging the relevant people to do so",NA,NA,NA,FALSE,"rural innovation","health",2022-07-22,"village","graduate cc","no",350,NA,NA,"no particular groups is affected -- the problem is cross-cutting","no","community members",20,"yes","community members, panchayat official, bdo, district collector",3,5,"yes","no",2022-07-21,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for","they toured the village to find out what's going on","jh_5372","absenteeism of officials/public employees",2022-08-25 10:51:57,"sarheta",NA,2022-07-27,"https://youtu.be/jmi61dk72na"
